,Name,Main Title,Dynasty,Date,Comment
496,Nebemakhet,Prince,4th dynasty,fl. c. 26th century BC,He was the son of pharaoh Khafre and queen Meresankh III. He was Chief Justice and Vizier to the pharaoh Menkaure.
497,Nebet,Queen,5th dynasty,fl. c. 24th century BC,The wife of king Unas.
498,Nebet,Vizier,6th dynasty,fl. c. 24th century BC,"A female vizier who held the office during the reign of Pepi I. Nebet's two daughters, Ankhesenpepi I and Ankhesenpepi II married Pepi I. She was married to Khui and their son Djau was a vizier."
499,Nebetah,Princess,18th dynasty,fl. c. mid-14th century BC,Daughter of Amenhotep III and wife Tiye. She was a younger sister of Akhenaten.
500,Nebetia,Princess,18th dynasty,fl. c. mid-14th century BC,She was the granddaughter of Pharaoh Thutmose IV and the daughter of Prince Siatum.
501,Nebetiunet,Princess,18th dynasty,fl. c. mid-15th century BC,A daughter of Pharaoh Thutmose III and his wife Merytre-Hatshepsut.
502,Nebetnehat,Queen,18th dynasty,fl. c. 14th century BC,A Queen of an unidentified Pharaoh. Her name is only known from an alabaster canopic fragment found in the valley of the Queens.
503,Nebettawy,Princess- Queen,19th dynasty,fl. c. mid-13th century BC,The daughter and a Great Royal Wife of pharaoh Ramesses II.
504,Nebiriau I Sewadjenre,Pharaoh,16th dynasty,fl. c. early-16th century BC,Also known as Nebiryerawet I. A pharaoh of the 16th Theban dynasty based in Upper Egypt during the Second Intermediate Period.
505,Nebiriau II,Pharaoh,16th dynasty,fl. c. 19th century BC,Also known as Nebiryerawet II. A pharaoh of the 16th Theban dynasty based in Upper Egypt during the Second Intermediate Period.
506,Nebit,Vizier,16th dynasty,fl. c. early-16th century BC,Nebit was an Ancient Egyptian official under king Senusret III.
507,Nebkaure Khety,Pharaoh,9th dynasty,fl. c. 22nd century BC,"A pharaoh of the Herakleopolite 9th dynasty, also mentioned on The Eloquent Peasant."
508,Nebmaatre,Pharaoh,16th or 17th dynasty,fl. c. early-16th century BC,Obscur pharaoh of the early 17th dynasty during the Second Intermediate Period.
509,Nebmaatre,"Prince, High Priest of Re",20th dynasty,fl. c. late-12th century BC,High Priest of Re in Heliopolis. He was probably a son of Ramesses IX.
510,Nebneteru Tenry,High Priest of Amun,19th dynasty,fl. c. early-13th century BC,"High Priest of Amun under pharaoh Seti I. Nebneteru's wife, Merytre, was Chief of the Harem of Amun."
511,Nebnuni,Pharaoh,13th dynasty,,See Nebnun(i) Semenkare.
512,Nebre,Pharaoh,2nd dynasty,,See Raneb.
513,Nebsenre,Pharaoh,14th Dynasty,fl. c. early 17th century BC,"Obscur king of the 14th Dynasty, attested by a single inscription on a jar and the Turin canon."
514,Nebtu,Queen,18th Dynasty,fl. c. mid-15th century BC,"Wife of the 18th dynasty king, Thutmose III."
515,Nebtyemneferes,Princess,5th dynasty,fl. c. 24th century BC,Daughter of Pharaoh Djedkare.
516,Nebty-tepites,Princess,4th dynasty,fl. c. 26th century BC,"Nebty-tepites was a daughter of Prince Horbaef and his half-sister Meresankh II. After Horbaef's death, Meresankh married either the pharaoh Djedefra or the pharaoh Khafre."
517,Nebwawy,High Priest of Osiris,18th dynasty,fl. c. 15th century BCE,"High Priest of Osiris under the pharaohs Hatshepsut, Thutmose III and Amenhotep II."
518,Nebwenenef,High Priest of Amun,19th dynasty,fl. c. early-13th century BC,"High Priest of Amun at the beginning of the reign of Ramesses II. Prior to that, Nebwenenef had served as High Priest of Anhur and High Priest of Hathor during the reign of Seti I."
519,Neby,Pharaoh,7th dynasty,,See Neferkare Neby.
520,Necho I,King of Sais,26th dynasty,fl. c. mid-7th century BC,Also known as Nekau I. Governor of the Egyptian city of Sais. He was the first attested local Saite king of the 26th dynasty of Egypt (reigned c. 672 BC–c. 664 BC). He was killed by an invading Kushite force under Tantamani.
521,Necho II,Pharaoh,26th dynasty,fl. c. late-7th century BC,"Also known as Nekau II (reigned c. 610 BC–c. 595 BC). Following the collapse of the Assyrian Empire, the Babylonians under Nebuchadrezzar II fought the armies of Pharaoh Necho II. The Egyptians were defeated and eventually expelled from Syria."
522,Nectanebo I,Pharaoh,30th dynasty,reigned 380 BC – 362 BC,"Also known as Nekhtnebef. Nectanebo deposed and killed Nefaarud II, starting the last dynasty of Egyptian kings. He spent much of his reign defending his kingdom against Persian reconquest but still erected many monuments and temples."
523,Nectanebo II,Pharaoh,30th dynasty,reigned 360 BC – 343 BC,"Also known as Nakhthoreb, the last king of the 30th dynasty and the last native Egyptian ruler in antiquity. He was placed on the throne by the Spartan king Agesilaus II, who helped him overthrow Teos and fight off a rival pretender. Nectanebo II was defeated by the Persian king Artaxerxes III, and went into exile in Nubia. Egypt once again became a satrapy of the Persian Empire."
524,Nedjeftet,Queen,6th dynasty,fl. c. 24th century BC,Wife of pharaoh Pepi I.
525,Nedjem,Prince,18th dynasty,fl. c. late-15th century BC,He was a son of Pharaoh Amenhotep II.
526,Nedjemib,Princess,4th dynasty,fl. c. 26th century BC,She was a daughter of Rahotep and Nofret and niece of pharaoh Khufu.
527,Nedjemibre,Pharaoh,13th dynasty,fl. c. early- to mid-18th century BC,Ephemeral ruler of the 13th dynasty during the Second Intermediate Period. Known only from the Turin canon.
528,Neferefre,Pharaoh,5th dynasty,fl. c. 25th century BC,Also known as Raneferef. He reigned c. 2460 BC – c. 2453 BC.
529,Neferetnebty,Queen,5th dynasty,fl. c. 25th century BC,"A wife of pharaoh Sahure. Her name is sometimes written as Neferet-ha-Nebti, or Neferetnebti."
530,Neferhetepes,Princess,4th dynasty,fl. c. 26th century BC,A daughter of Pharaoh Djedefre.
531,Neferhotep,Scribe,13th dynasty,fl. c. mid-18th century BC,A 13th dynasty Egyptian official and scribe.
532,Neferhotep I,Pharaoh,13th dynasty,fl. c. late-18th century BC,He was the son of a Theban military family and brother of King Sobekhotep IV.
533,Neferhotep III Sekhemre Sankhtawy,Pharaoh,16th dynasty,fl. c. late-17th century BC,A king during the Theban 16th Dynasty.
534,Neferirkare,Pharaoh,8th dynasty,fl. c. 22nd century BC,"He reigned c. 2161 BC – c. 2160 BC, during the First Intermediate Period."
535,Neferirkare Kakai,Pharaoh,5th dynasty,fl. c. 25th century BC,He reigned c. 2477 BC – c. 2467 BC. He married Queen Khentkaus II.
536,Neferkahor,Pharaoh,7th dynasty,fl. c. 22nd century BC,May have been a 7th dynasty king of Egypt during the First Intermediate Period.
537,Neferkamin,Pharaoh,7th dynasty,fl. c. 22nd century BC,May have been a 7th dynasty king of Egypt during the First Intermediate Period.
538,Neferkamin Anu,Pharaoh,8th dynasty,fl. c. 22nd century BC,May have been an 8th dynasty king of Egypt during the First Intermediate Period.
539,Neferkara I,Pharaoh,8th dynasty,fl. c. 22nd century BC,May have been a 7th dynasty king of Egypt during the First Intermediate Period.
540,Neferkare II,Pharaoh,7th dynasty,fl. c. 22nd century BC,May have been a 7th dynasty king of Egypt during the First Intermediate Period.
541,Neferkare III,Pharaoh,9th dynasty,fl. c. 22nd century BC,A king during the 9th dynasty of Egypt controlling territories based around Herakleopolis.
542,Neferkare Iymeru,Vizier,13th dynasty,,An Egyptian vizier under king Sobekhotep IV.
543,Neferkare Khendu,Pharaoh,7th dynasty,fl. c. 22nd century BC,May have been a 7th dynasty king of Egypt during the First Intermediate Period.
544,Neferkare Neby,Pharaoh,7th dynasty,fl. c. 22nd century BC,May have been a 7th dynasty king of Egypt during the First Intermediate Period. His mother was probably Queen Ankhesenpepi II and his father was probably Pepi II Neferkare.
545,Neferkare Pepiseneb,Pharaoh,8th dynasty,fl. c. 22nd century BC,May have been an 8th dynasty king of Egypt during the First Intermediate Period.
546,Neferkare Tereru,Pharaoh,7th dynasty,fl. c. 22nd century BC,May have been a 7th dynasty king of Egypt during the First Intermediate Period.
547,Neferkare VII,Pharaoh,9th dynasty,fl. c. 22nd century BCE,The third pharaoh of the 9th dynasty.
548,Neferkare VIII,Pharaoh,10th dynasty,fl. c. late-22nd century BCE,The second pharaoh of the 10th dynasty.
549,Neferkare,King of Tanis,26th dynasty,fl. c. mid-7th century BCE,The last local ruler of Tanis who finally submitted himself to Psamtik I of the 26th dynasty.
550,Neferkau,Prince,4th dynasty,fl. c. 26th century BC,He was a son of Rahotep and Nofret and nephew of pharaoh Khufu.
551,Neferkauhor,Pharaoh,8th dynasty,fl. c. 22nd century BC,"He reigned c. 2163 BC–c. 2161 BC, during the First Intermediate Period."
552,Neferkaure II,Pharaoh,8th dynasty,fl. c. 22nd century BC,"He reigned c. 2167 BC–c. 2163 BC, during the First Intermediate Period."
553,Nefermaat I,Vizier,4th dynasty,fl. c. 26th century BC,A son of pharaoh Sneferu. He was a vizier and was a half-brother of Khufu. Nefermaat's wife was Itet.
554,Nefermaat II,Vizier,4th dynasty,fl. c. 26th century BC,Vizier during the reign of his cousin pharaoh Khafre. Nefermaat was a son of Princess Nefertkau .
555,Neferneferuaten Ankhkheperure,Pharaoh,18th dynasty,fl. c. mid-14th century BC,A female Egyptian pharaoh (reigned c.1335 BC – c.1333 BC) toward the end of the Amarna era during the 18th Dynasty. She was probably a daughter of pharaoh Akhenaten.
556,Neferneferuaten Tasherit,Princess,18th dynasty,fl. c. mid-14th century BC,A daughter of Pharaoh Akhenaten and his Great Royal Wife Nefertiti.
557,Neferneferure,Princess,18th dynasty,fl. c. mid-14th century BC,A daughter of Pharaoh Akhenaten and Great Royal Wife Nefertiti.
558,Neferronpet,Vizier,19th dynasty,fl. c. mid-13th century BC,An Egyptian vizier and a High Priest of Ptah during the reign of pharaoh Ramesses II.
559,Nefersheshemre,Vizier,6th dynasty,fl. c. 24th century BC,A vizier during the early to middle part of the reign of the 6th dynasty Egyptian pharaoh Teti.
560,Nefertari,Queen,18th dynasty,fl. c. late-15th century BC,The first Great Royal Wife of Pharaoh Thutmose IV.
561,Nefertari,Queen,19th dynasty,fl. c. mid-13th century BC,"Also known as Nefertari Merytmut, one of the Great Royal Wives of pharaoh Ramesses II."
562,Neferthenut,Queen,12th dynasty,fl. c. mid-19th century BC,She was probably the wife of pharaoh Senusret III.
563,Nefertiabet,Princess,4th dynasty,fl. c. 26th century BC,She was a daughter of Pharaoh Khufu and sister of Hetepheres II and Khafre.
564,Nefertiti,Queen,18th dynasty,fl. c. mid-14th century BC,The Great Royal Wife of Pharaoh Akhenaten. Nefertiti is also known for her bust which was attributed to the sculptor Thutmose.
565,Nefertkau I,Princess,4th dynasty,fl. c. 26th century BC,A daughter of pharaoh Sneferu and a half-sister to Khufu.
566,Nefertkau II,Princess,4th dynasty,fl. c. 26th century BC,"The wife and sister of Prince Khufukhaf I, son of the 4th dynasty pharaoh Khufu."
567,Nefertkau III,Princess,4th dynasty,fl. c. 26th century BC,She was probably a daughter of Meresankh II and Prince Horbaef. She was married to an official named Iynefer.
568,Nefertnesu,Princess,4th dynasty,fl. c. 26th century BC,She was a daughter of pharaoh Sneferu and she was a half-sister to pharaoh Khufu.
569,Neferu III,Queen,12th dynasty,fl. c. mid-20th century BC,"She was a daughter of Amenemhat I, wife of her brother, Senusret I, and the mother of Amenemhat II."
570,Neferuptah,Princess,12th dynasty,fl. c. late-19th century BC,"Also known as Ptahneferu, a daughter of the Egyptian king Amenemhat III of the 12th dynasty. Her sister was the Pharaoh Sobekneferu."
571,Neferure,Princess,18th dynasty,fl. c. early-15th century BC,"The daughter of two pharaohs, Hatshepsut and Thutmose II. She served in high offices in the Egyptian government and the religious administration."
572,Nefrubity,Princess,18th dynasty,fl. c. early-15th century BC,"She is sometimes called Akhbetneferu. She was the daughter of Pharaoh Thutmose I and Ahmose, the sister of Hatshepsut and the half-sister of Thutmose II."
573,Nehesy,Pharaoh,14th dynasty,fl. c. late-18th century BC,A ruler during the 14th dynasty of Egypt of the Second Intermediate Period.
574,Nehi,Viceroy of Kush,18th dynasty,,Nehy was in office under Thutmose III.
575,Neith,Queen,6th dynasty,fl. c. 23rd century BC,"One of the queens of the 6th dynasty pharaoh Pepi II. Neith was probably a daughter of the pharaoh Pepi I and queen Ankhesenpepi I, making her half-sister to pharaoh Pepi II. Neith may be the mother of pharaoh Nemtyemsaf II."
576,Neithhotep,Queen,1st dynasty,fl. c. 31st century BC,"Queen of Egypt, and likely wife of Narmer."
577,Neitiqerty Siptah,Pharaoh,6th dynasty,fl. c. 22nd century BC,"He reigned c. 2183 BC – c. 2181 BC, and was an obscure successor to Merenre Nemtyemsaf II towards the end of the 6th dynasty of Egypt."
578,Nekauba,Pharaoh,26th dynasty,fl. c. mid-7th century BC,He reigned c. 678 BC – c. 672 BC during the 26th Saite dynasty of Egypt.
579,Nemtyemsaf I,Pharaoh,6th dynasty,,see Merenre Nemtyemsaf I
580,Nemtyemsaf II,Pharaoh,6th dynasty,,see Merenre Nemtyemsaf II
581,Nepherites I,Pharaoh,29th dynasty,reigned 399 BC – 393 BC,"Also known as Nefaarud I. He founded the 29th dynasty of Egypt by defeating and then executing Amyrtaeus. Nepherites was a native of Mendes, which he made his capital. He supported Sparta in its war against the Persians by supplying them with grain and ship building material."
582,Nepherites II,Pharaoh,29th dynasty,reigned 380 BC,"Also known as Nefaarud II, a pharaoh of Egypt. Following the death of his father Hakor, he was the last pharaoh of the 29th dynasty. He was deposed and killed by Nectanebo I after ruling Egypt for only 4 months."
583,Nerikare,Pharaoh,13th dynasty,fl. c. early-18th century BC,Short-lived pharaoh of the 13th dynasty.
584,Neserkauhor,Prince,5th dynasty,fl. c. 24th century BC,He was a son of Djedkare Isesi.
585,Nesitanebetashru,Noble Woman,21st dynasty,fl. c. early-10th century BC,"A daughter of the Egyptian nobleman and High Priest of Amun, Pinedjem II, and his wife Neskhons."
586,Nesitanebetashru,Queen,22nd dynasty,fl. c. mid-9th century BC,The wife of Sheshonk II and the mother of Pharaoh Harsiese. She was also a Chantress of Amun.
587,Nesitaudjatakhet,Queen,22nd dynasty,fl. c. 9th century BC,Nesitaudjatakhet was a wife of Pharaoh Sheshonk II and the mother of Prince Osorkon D.
588,Neskhons,Princess,21st dynasty,fl. c. late-11th century BC,"She was the daughter of Smendes II and Takhentdjehuti, and wed her paternal uncle, High Priest Pinedjem II."
589,Neterkheperre Meryptah,High Priest of Ptah,21st dynasty,fl. c. early-10th century BC,"He was High Priest of Ptah during the reigns of the pharaohs Psusennes I, Amenemope, Osochor and Siamun."
590,Netjeraperef,Prince,4th dynasty,fl. c. 26th century BC,A son of the Egyptian pharaoh Sneferu. He was a half-brother of Khufu and nephew to Hetepheres I.
591,Netjerkare,Pharaoh,7th dynasty,fl. c. 22nd century BC,May have been a 7th dynasty king of Egypt during the First Intermediate Period.
592,Nikare,Pharaoh,7th dynasty,fl. c. 22nd century BC,May have been a 7th dynasty king of Egypt during the First Intermediate Period.
593,Nikaure,Vizier,4th dynasty,fl. c. 26th century BC,"A prince, chief justice and vizier during the 4th dynasty. Nikaure was a son of Pharaoh Khafre and Queen Persenet. His wife was Nikanebti."
594,Nimaethap,Queen,2nd dynasty,fl. c. 27th century BC,"Queen, husband unknown"
595,Nimaethap II,Queen,5th dynasty,fl. c. 26th century BC,A queen of Egypt at the end of the 2nd dynasty. Wife of Pharaoh Khasekhemwy.
596,Nimlot,Libyan chief,21st dynasty,fl. c. 10th century BCE,"A Great Chief of the Ma, known for being the father of pharaoh Shoshenq I and brother of pharaoh Osorkon the Elder."
597,Nimlot,Prince,22nd dynasty,fl. c. 940 BCE,"A prince, son of pharaoh Shoshenq I; he also was a general and a governor at Herakleopolis Magna."
598,Nimlot,High Priest of Amun,22nd dynasty,fl. c. mid-9th century BC,"A High Priest of Amun at Thebes during the latter part of the reign of his father, pharaoh Osorkon II."
599,Nimlot,King of Hermopolis,25th dynasty,fl. c. mid-8th century BCE,"A local pharaoh at Hermopolis during the 25th dynasty, he submitted himself to Piye and is depicted on the latter's Victory stela."
600,Nitocris,Pharaoh / Queen,6th dynasty,fl. c. 22nd century BC,"May have been the last pharaoh of the Egyptian 6th Dynasty. However, her historicity has been questioned."
601,Nitocris I,God's Wife of Amun,26th dynasty,fl. c. mid-7th to early-6th century BC,"Also known as Nitiqret, she was the Divine Adoratrice of Amun or God's Wife of Amun for over 70 years. She was the daughter of the Saite pharaoh Psamtik I."
602,Nitocris II,"Princess, High Priest of Amun",26th Dynasty,fl. c. mid-6th century BC,Daughter of pharaoh Amasis II and a female High Priest of Amun.
603,Nodjmet,Noble,20th-21st dynasty,fl. c. early-11th century BCE,"A noblewoman, wife of the High Priest of Amun Herihor and/or Piankh."
604,Nofret,Princess,4th dynasty,fl. c. 26th century BC,"A noblewoman and princess who lived during the 4th dynasty of Egypt. Nofret married Prince Rahotep, who was a son of Pharaoh Sneferu."
605,Nofret II,Queen,12th dynasty,fl. c. early-19th century BC,She was a daughter of Amenemhat II and wife of Senusret II.
606,Nubhetepti-khered,Princess,13th dynasty,fl. c. mid-18th century BC,An Egyptian king's daughter during the 13th dynasty. Probably a daughter of King Hor.
607,Nubkhaes,Queen,13th dynasty,fl. c. mid-17th century BC,A 13th dynasty Egyptian queen whose husband is assumed to be one of the successors of pharaoh Sobekhotep IV.
608,Nubkhesbed,Queen,20th dynasty,fl. c. mid-12th century BC,She was the Great Royal Wife of Pharaoh Ramesses VI and mother of Pharaoh Ramesses VII.
609,Nubwenet,Queen,6th dynasty,fl. c. 24th century BC,"Also known as Nebuunet, an Egyptian queen consort and a wife of the 6th dynasty pharaoh Pepi I."
610,Nuya,Pharaoh,14th dynasty,fl. c. 17th century BC,"Poorly known pharaoh of the 14th dynasty, likely of Semitic descent and reigning over the eastern Nile Delta."
611,Nykara,Granary Official,5th dynasty,fl. c. 25th century BC,"Known from a granite statue of Nykara and his family, now at the Brooklyn Museum."
612,Nynetjer,Pharaoh,2nd dynasty,fl. c. 28th century BC,A long-lived king of the mid 2nd dynasty of Egypt. It is possible that he was a son of his predecessor Raneb.
613,Nyuserre Ini,Pharaoh,5th dynasty,fl. c. 25th century BC,"Also known as Neuserre Izi, Niuserre Isi, Nyuserra, and Rathoris. A 5th dynasty pharaoh of Egypt (reigned c. 2453 BC – c. 2422 BC)."
614,Osorkon the Elder,Pharaoh,21st dynasty,fl. c. early-10th century BC,"Osorkon Akheperre Setepenre reigned c. 992 BC – c. 986 BC, and was the first pharaoh of Libyan extraction to rule Egypt. He was the son of Shoshenq, the Great Chief of the Ma."
615,Osorkon I,Pharaoh,22nd dynasty,reigned c. 922 BC – c. 887 BC,"He was the son of Sheshonk I and his chief consort, Karomat. Osorkon I's reign was long and prosperous and is known for many temple building projects."
616,Osorkon II,Pharaoh,22nd dynasty,reigned c. 872 BC – c. 837 BC,"The son of Takelot I and Queen Kapes. He ruled Egypt from Tanis. After succeeding his father, he faced a revolt from his cousin, Harsiese, who controlled Thebes. However, Osorkon II was able to unite Egypt after Harsiese's death. Further names include 'Usermaatre Setepenamun."
617,Osorkon III,Pharaoh,23rd dynasty,reigned c. 798 BC – c. 769 BC,"Usermaatre Setepenamun Si-Ese was a pharaoh of Upper Egypt based in Thebes. He was also a High Priest of Amun. He was a son of Takelot II and Queen Karomama II. During his reign, he defeated the rival forces of Sheshonk IV."
618,Osorkon IV,Pharaoh,22nd dynasty,fl. c. mid-8th century BC,A ruler of Lower Egypt who was based in Tanis and therefore one of the 22nd dynasty pharaoh Shoshenq V's successors.
619,Osorkon C,Great Chief of the Ma,22nd dynasty,fl. c. mid-8th century BC,"A Great Chief of the Ma and governor of Sais, predecessor of pharaoh Tefnakht of the 24th Dynasty."
620,Paanchi,Pharaoh,25th dynasty,,see Piye
621,Pabasa,Chief Steward,26th dynasty,fl. c. mid-7th century BC,"Chief Steward to the Divine Adoratrice of Amun, Nitocris I."
622,Pageti,Princess,4th dynasty,fl. c. 26th century BC,"A daughter of Nefermaat, the eldest son of pharaoh Sneferu and Itet."
623,Pahemnetjer,High Priest of Ptah,19th dynasty,fl. c. mid-13th century BC,A High Priest of Ptah during the reign of Ramesses II. Pahemnetjer succeeded Huy as High Priest of Ptah.
624,Pami Usermaatre Setepenre,Pharaoh,22nd dynasty,fl. c. mid-8th century BC,"He reigned c. 785 BC – c. 778 BC, and was a member of the Meshwesh Libyans then ruling the country."
625,Panehesy,Chief servitor of the Aten,18th dynasty,fl. c. 14th century BC,High Priest of the Aten in the temple of Aten in Akhetaten during the reign of Akhenaten.
626,Panehesy,Prophet of Amenhotep (I) of the Forecourt,19th dynasty,fl. c. 13th century BC,He served during the reign of Pharaoh Ramesses II.
627,Panehesy,Vizier,19th dynasty,fl. c. late-13th century BC,He served during the reign of Pharaoh Merenptah.
628,Paraemheb,Vizier,19th dynasty,fl. c. late-13th century BC,A vizier of Egypt during the reigns of the pharaohs Amenmesse and Seti II. Also known as Pre'em'hab.
629,Pareherwenemef,Prince,19th dynasty,fl. c. mid-13th century BC,He was a son of pharaoh Ramesses II and Queen Nefertari.
630,Pareherwenemef,Prince,20th dynasty,fl. c. early-12th century BC,A son of pharaoh Ramesses III.
631,Parennefer called Wennefer,High Priest of Amun,18th dynasty,fl. c. mid to late-14th century BC,High Priest of Amun during the reigns of the 18th dynasty pharaohs Tutankhamen and Horemheb.
632,Parennefer,Royal Butler,18th dynasty,fl. c. mid-14th century BC,Pharaoh Akhenaten's close adviser both before and after Akhenaten came to the throne.
633,Pasenhor,Priest,22nd dynasty,fl. c. 730 BCE,"Priest of Ptah under pharaoh Shoshenq V, known for his long genealogy written on an Apis burial stela."
634,Paser I,Viceroy of Kush,18th dynasty,fl. c. 14th century BC,Paser I likely served during the reigns of Ay and Horemheb
635,Paser,Vizier,19th dynasty,fl. c. early to mid-13th century BC,Vizier during the reigns of pharaohs Seti I and Ramesses II. Later he became a High Priest of Amun.
636,Paser II,Viceroy of Kush,19th dynasty,fl. c. 13th century BC,"Paser II was the son of the High Priest of Min and Isis named Minmose. He was a King's son of Kush, overseer of the Southern Lands, and king's scribe."
637,Pashedu,Artisan,19th dynasty,fl. c. 13th century BC,"Lived in Deir el-Medina on the west bank of the Nile, opposite Thebes, during the reign of Seti I."
638,Patareshnes,Queen,22nd dynasty,fl. c. mid-10th century BC,Wife of pharaoh Sheshonk I. Her name is sometimes written as Patoreshnes or Penreshnes.
639,Paweraa,Mayor of Western Thebes,20th dynasty,fl. c. 11th century BC,Mayor of Western Thebes during a series of tomb robberies that occurred in the Valley of the Kings during the late New Kingdom.
640,Pawura,Chief of the Archers,18th dynasty,fl. c. 14th century BC,"An Egyptian official mentioned in the Amarna letters. He is referred to as an Egyptian ""archer–commander"" and an ""irpi–official""."
641,Pebatjma,Nubian Queen,,fl. c. 8th century BC,"Wife of King Kashta and mother of King Piye (possibly), King Shabaka, God's Wife Amenirdis I, Queens Khensa and Peksater."
642,Pebekkamen,Chief of the Chamber,20th dynasty,fl. c. early-12th century BC,"One of the key conspirators in the Harem conspiracy, a plot to overthrow Pharaoh Ramesses III. Pebekkamen had served as chief of the chamber to Ramesses. Following his trial, Pebekkamen was executed."
643,Pediamenopet,Priest,25th and 26th dynasty,fl. c. late 8th century BC,"A librarian, archivist and Chief Lector Priest during the Egyptian 25th and 26th dynasties who amassed enough wealth to build a labyrinthine tomb covered with frescoes and hieroglyphics."
644,Pediese,Local Ruler,Third Intermediate Period,fl. c. late 8th century BC,"Pediese, married to the great-great-granddaughter of Shoshenq III, was one of a number of princes ruling Lower Egypt. He was of Libyan descent, a chief of the Ma. He ruled from Athribis."
645,"Pediese, chief of the Ma",High Priest of Ptah,Third Intermediate Period,fl. c. late 8th century BC,Involved in the replacement of an Apis bull which had died in the 28th year of the reign of Shoshenq III.
646,Pehen-Ptah,Chief of sculptors,2nd or 3rd Dynasty,fl. c. 28–27th century BC,Official in charge of the sculptors of the king.
647,Petiese,Administrator,"Persian Occupation, 26th dynasty",fl. c. 7th century BC,"Petiese I, son of Ireturu, administered Upper Egypt. In 651 BCE he had his priestly offices confirmed by Psamtik I."
648,Pedubast I,Pharaoh,23rd dynasty,fl. c. late-9th century BC,A king of Libyan ancestry (reigned c. 829 BC – c. 804 BC) . He was the main opponent to the 23rd dynasty Upper Egyptian pharaohs Takelot II and Osorkon III during a protracted civil war between these two competing sides.
649,Pedubast II,Pharaoh,22nd dynasty,fl. c. mid-8th century BC,A pharaoh of Lower Egypt (reigned c. 740 BC – c. 730 BC) associated with the 22nd dynasty. He was a possible son and successor to Shoshenq V.
650,Peftjauawybast,King of Herakleopolis,25th dynasty,fl. c. late-8th century BCE,A local pharaoh at Herakleopolis Magna who submitted himself to the 25th dynasty pharaoh Piye as shown on the latter's Victory stela. Also called Peftjaubast.
651,Peksater,Queen,25th dynasty,fl. c. mid-8th century BC,"She was a daughter of King Kashta and Queen Pebatjma and a wife of the pharaoh, Piye."
652,Penebui,Queen,1st dynasty,fl. c. 31st century BC,Wife of King Djer.
653,Pennesuttawy,General,19th dynasty,fl. c. late-14th century BC,"A general and superintendent of the Southern Lands (Kush) at the beginning of the 19th dynasty of Egypt. Pennesuttawy was a brother of the High Priest of Amun, Parennefer."
654,Pensekhmet,Vizier,19th dynasty,fl. c. late-13th century BC,He served during the reign of the 19th dynasty pharaoh Merenptah.
655,Pentawer,Prince,19th dynasty,fl. c. early-12th century BC,"A son of Pharaoh Ramesses III and Queen Tiye. He was to be the beneficiary of a ""harem conspiracy"" planned by his mother to assassinate the pharaoh. The plot failed and Pentawer was forced to commit suicide."
656,Penthu,"Physician, Chamberlain",18th dynasty,fl. c. mid-14th century BC,"The seal-bearer of the king, king's scribe, chief of physicians and chamberlain to the 18th dynasty pharaoh Akhenaten."
657,Pentu,Vizier,18th dynasty,fl. c. mid-14th century BC,Vizier of Egypt during the reign of pharaoh Tutankhamun. Also written as Pentju.
658,Pepi I Meryre,Pharaoh,6th dynasty,reigned c. 2332 BC – c. 2283 BC,"Pepi I's long reign was marked by an aggressive expansion into Nubia and the spread of trade to far-flung areas such as Lebanon and the Somali coast, but also the growing power of the nomarchs."
659,Pepi II Neferkare,Pharaoh,6th dynasty,reigned c. 2278 BC – c. 2184 BC,He was the son of Merenre and Ankhesenpepi II. His lengthy reign was marked by a sharp decline of the Old Kingdom as the power of the nomarchs grew.
660,Pepi III Seneferankhre,Pharaoh,16th dynasty,,"Obscur ruler of the second intermediate period, possibly a vassal of the Hyksos kings or a king of the 16th dynasty"
661,Perneb,Prince,2nd dynasty,fl. c. 28th century BC,He was a son of the 2nd dynasty pharaoh Hotepsekhemwy.
662,Persenet,Queen,4th dynasty,fl. c. 26th century BC,She may have been a daughter of King Khufu and a wife of King Khafre.
663,Peseshet,Physician,4th dynasty,fl. c. 26th century BC,"Her title was ""lady overseer of the female physicians,""but whether she was a physician herself is uncertain. She had a son, Akhethetep, in whose mastaba at Giza her personal stela was found."
664,Petubastis III,Pharaoh,Persian Occupation,fl. late 6th century BC,"An Egyptian ruler who revolted against Persian rule under the satrap Aryandes. He was probably a member of the old royal Saitic line, who attempted to seize power around 522 BC. Aryandes probably quelled the rebellion.(or Seheruibre Padibastet)"
665,Piankh,High Priest of Amun,21st dynasty,fl. c. mid-11th century BC,"High Priest of Amun who led an army against Pinehesy, viceroy of Kush, who had conquered large parts of Upper Egypt and succeeded in driving him back into Nubia."
666,Pihuri,Commissioner,18th dynasty,fl. c. mid-14th century BC,"An Egyptian commissioner in the ""Land of Retenu"" (Canaan) mentioned in the Amarna letters. He probably served under pharaohs Amenhotep III and Akhenaten. His name is sometimes written as Pakhura."
667,Pimay,Prince,22nd dynasty,fl. c. late-9th century BC,Son of king Sheshonk III. He served as a 'Great Chief of the Ma' during his father's reign.
668,Pinedjem I,High Priest of Amun,21st dynasty,fl. c. mid-11th century BC,"High Priest of Amun at Thebes in Egypt and the de facto ruler of Middle and Upper Egypt from 1054 BC. He asserted his virtual independence from the 21st dynasty based at Tanis. He married Duathathor-Henuttawy, a daughter of Ramesses XI."
